pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason
XLY_XRT,XLY,XRT,CONSUMER_DISC,SHORT,2010-04-19,2010-05-06,13,2.9976102134116283,0.03245185309833962,0.7542927071836641,13.220005897924523,34.83881705784559,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-06,2010-05-10,2,-4.980326179468041,-0.44495453257098927,1.1120283439561278,6.150057843900465,244.48213116019798,convergence
EWU_EWQ,EWU,EWQ,EUROPE,SHORT,2010-04-27,2010-05-20,17,2.9611056245848784,0.40159029958750303,0.9871937579496305,6.455806101579485,90.74318335611906,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-05-14,2010-05-21,5,-3.0662942679986145,0.007401764586787833,1.1120283439561278,6.150057843900465,175.1622387771463,convergence
EWG_EWU,EWG,EWU,EUROPE,SHORT,2010-05-13,2010-05-26,9,2.67297007562729,-0.16845548324457124,0.959418377596196,5.1524661102392395,95.24139554459423,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-04,2010-06-15,7,-2.5246920383016986,-0.21829242944253582,1.1120283439561278,6.150057843900465,159.57535395549928,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2010-07-01,2010-07-08,4,-2.5067453747975437,-0.20957218718425147,0.7542927071836641,13.220005897924523,114.76001044553709,convergence
EWQ_EWL,EWQ,EWL,EUROPE,LONG,2010-06-28,2010-07-19,14,-3.734544857070711,-0.31611905225959497,1.1120283439561278,6.150057843900465,321.98191345351927,convergence
VFH_IAI,VFH,IAI,FINANCIALS,SHORT,2010-06-18,2010-07-29,28,2.8509327089452516,0.23360184092903696,1.0479223703362872,14.580256609700431,-26.984266574594937,convergence
XLY_XRT,XLY,XRT,CONSUMER_DISC,LONG,2011-03-30,2011-04-25,17,-2.5087304957518994,-1.2625149696762707,0.8015600438871172,5.816031226812846,-67.50714544370723,max_holding
XLF_IAI,XLF,IAI,FINANCIALS,LONG,2011-04-15,2011-04-28,8,-2.7259758210193725,-0.1695013353984614,0.7763363224786131,10.479668817029296,59.45084732428673,convergence
